feature,importance_harassment,importance_hate_speech,importance_insult,importance_normal,importance_sexually_explicit,importance_threat,importance_overall
aku,0.004340739478501455,0.0034158241965826877,0.004599395347290159,0.0045989167878139284,0.0017390609871697853,0.0026644548285647135,0.021358391625922728
rakyat,0.00012504055984938973,0.003567990649929969,0.0032567959185365964,0.003992532919312566,0.0031731573725567587,0.006729455000626635,0.020844972420811916
jp,0.001261441669769593,0.002234261310550309,0.005216862392503634,0.008087710291034902,0.00040455340941948897,0.0034391141298923886,0.020643943203170315
result,0.002932127656198785,0.0016498869745974311,0.004880924614744778,0.006617807848500431,0.0008234003988948377,0.003668531795935441,0.020572679288871708
foto,0.0025993205107909226,0.006257472137256547,0.0003980156710067368,0.00264070564127541,0.0014170100446289494,0.007235081380394111,0.020547605385352677
lelucon,0.010256518591242313,0.005107531813907964,0.001068448167668027,0.003254940228750764,0.00015040484066072165,0.0006751935402548127,0.0205130371824846
medis,0.002273118725780652,0.003683601608451025,0.003527724733121763,0.0040461602683679355,0.0002143243487765382,0.006689480218254357,0.02043440990275227
hancur,0.0031853220365692975,0.004127450616249587,0.0018299383911405003,0.003808353972623309,0.00137962808251972,0.006075791866603048,0.02040648496570546
sesuai,0.002341381082824446,0.006734927244670899,0.006032703376289211,0.0005013174416862275,0.0005891915374735341,0.004134113930365919,0.020333634613310236
shio,0.002662144847172804,0.008703644065944888,0.006503700096812903,0.0012792871933843038,0.0008964271006234626,7.93407852797256e-05,0.02012454408921809
tipu,0.000831967064403679,0.00668660961644639,0.0017471766637598871,0.008308849599432741,0.0009016054014781449,0.0016086357851083206,0.020084844130629165
jurnalis,0.0006447430148939046,0.0035673989788378505,0.0020310838511805674,0.004378757336606499,0.0013232747372612476,0.008009222414469512,0.019954480333249584
prediksi,0.002349348911733266,0.0013463667538203786,0.0064841009237422784,0.004009199443709543,0.0011337494137432388,0.0046116330516889495,0.019934398498437655
percaya,0.006317813994772819,0.005308701523221929,0.0028926037528622613,0.0009432287013051136,0.0035242570962300047,0.0006975371136134237,0.01968414218200555
akun,0.0060553224115616824,0.0017526904846641136,0.002490936272708493,0.001227510638569004,0.003600926378448907,0.00442015245972614,0.01954753864567834
berat,0.003248715092784599,0.0003094660864617244,0.0035317164104484394,0.005893022910483709,0.005956964578819436,0.0005285257357898911,0.0194684108147878
